predator,prey
0.0000687,0.00021
0.000238,0.000651
0.0000468,0.00021
0.000409,0.0057
0.0000061,0.0000455
0.0000061,0.000113
0.0000061,0.0000687
0.0000061,0.000183
0.0000061,0.0000217
0.0000061,0.0000285
0.0000902,0.000116
0.000045,0.0000455
0.000045,0.000113
0.000045,0.0000687
0.000045,0.000183
0.0000735,0.0001231
0.0000735,0.0001507
0.0000735,0.0001642
0.0000217,0.000126
0.000183,0.000231
0.000183,0.00021
0.000183,0.00021
0.000108,0.0003173
0.0000285,0.000126
14500,1800
14500,3000
14500,18000
14500,4500
0.0000143,0.000000031
0.0000143,0.000000125
0.0000143,0.000000132
0.0000143,0.000000135
0.00000093,0.000000031
0.00000093,0.000000125
0.00000093,0.000000132
0.00000093,0.000000135
0.0000022,0.000000025
0.0000022,0.000000026
0.0000022,0.000000031
0.0000022,0.000000033
0.0000022,0.000000038
0.0000022,0.000000048
0.0000022,0.000000062
0.0000022,0.000000069
0.0000022,0.000000093
0.0000022,0.000000108
0.0000022,0.000000109
0.0000022,0.000000115
0.0000022,0.000000125
0.0000022,0.00000013
0.0000022,0.000000132
0.0000022,0.000000135
0.0000022,0.000000136
0.00000211,0.000000025
0.00000211,0.000000026
0.00000211,0.000000031
0.00000211,0.000000033
0.00000211,0.000000038
0.00000211,0.000000048
0.00000211,0.000000062
0.00000211,0.000000069
0.00000211,0.000000093
0.00000211,0.000000108
0.00000211,0.000000109
0.00000211,0.000000115
0.00000211,0.000000125
0.00000211,0.00000013
0.00000211,0.000000132
0.00000211,0.000000135
0.00000211,0.000000136
0.00000362,0.000000025
0.00000362,0.000000026
0.00000362,0.000000031
0.00000362,0.000000033
0.00000362,0.000000038
0.00000362,0.000000048
0.00000362,0.000000062
0.00000362,0.000000069
0.00000362,0.000000093
0.00000362,0.000000108
0.00000362,0.000000109
0.00000362,0.000000115
0.00000362,0.000000125
0.00000362,0.00000013
0.00000362,0.000000132
0.00000362,0.000000135
0.00000362,0.000000136
0.00000759,0.000000031
0.00000759,0.000000125
0.00000759,0.000000132
0.00000759,0.000000135
0.000015,0.000000025
0.000015,0.000000026
0.000015,0.000000031
0.000015,0.000000033
0.000015,0.000000038
0.000015,0.000000048
0.000015,0.000000062
0.000015,0.000000069
0.000015,0.000000093
0.000015,0.000000108
0.000015,0.000000109
0.000015,0.000000115
0.000015,0.000000125
0.000015,0.00000013
0.000015,0.000000132
0.000015,0.000000135
0.000015,0.000000136
0.00000353,0.000000025
0.00000353,0.000000026
0.00000353,0.000000031
0.00000353,0.000000033
0.00000353,0.000000038
0.00000353,0.000000048
0.00000353,0.000000062
0.00000353,0.000000069
0.00000353,0.000000093
0.00000353,0.000000108
0.00000353,0.000000109
0.00000353,0.000000115
0.00000353,0.000000125
0.00000353,0.00000013
0.00000353,0.000000132
0.00000353,0.000000135
0.00000353,0.000000136
0.000000832,0.000000031
0.000000832,0.000000125
0.000000832,0.000000132
0.000000832,0.000000135
0.0000127,0.000000025
0.0000127,0.000000026
0.0000127,0.000000031
0.0000127,0.000000033
0.0000127,0.000000038
0.0000127,0.000000048
0.0000127,0.000000062
0.0000127,0.000000069
0.0000127,0.000000093
0.0000127,0.000000108
0.0000127,0.000000109
0.0000127,0.000000115
0.0000127,0.000000125
0.0000127,0.00000013
0.0000127,0.000000132
0.0000127,0.000000135
0.0000127,0.000000136
0.00000014,2.03E-10
0.00000014,2.39E-10
0.00000014,3.46E-10
0.00000014,3.03E-11
0.00000014,2.72E-10
0.00000014,1.75E-10
0.00000095,2.03E-10
0.00000095,2.39E-10
0.00000095,3.46E-10
0.00000095,3.03E-11
0.00000095,2.72E-10
0.00000095,1.75E-10
0.00000155,2.03E-10
0.00000155,0.00000000151
0.00000155,2.39E-10
0.00000155,5.07E-10
0.00000155,6.41E-10
0.00000155,0.00000000754
0.00000155,3.46E-10
0.00000155,0.00000000158
0.00000155,3.03E-11
0.00000155,2.72E-10
0.00000155,1.75E-10
0.000000035,2.03E-10
0.000000035,2.39E-10
0.000000035,2.37E-10
0.000000035,3.46E-10
0.000000035,3.03E-11
0.000000035,2.72E-10
0.000000035,1.75E-10
0.0000204,0.00000014
0.0000204,0.00000095
0.0000204,0.000000035
0.0000204,0.0000204
0.0000204,0.00000018
0.0000204,0.00000016
0.0000204,0.000000135
0.0000204,0.00000002
0.0000204,0.00000001
0.0000204,0.00000001
0.0000204,0.0000088
0.0000204,0.000000105
0.0000204,0.000000465
0.0000204,0.00000025
0.0000204,0.00000038
0.0000204,0.00000685
0.00000224,7.97E-10
0.00000224,2.03E-10
0.00000224,0.00000000151
0.00000224,2.39E-10
0.00000224,0.00000000157
0.00000224,1.32E-10
0.00000224,5.07E-10
0.00000224,6.41E-10
0.00000224,0.00000000754
0.00000224,3.46E-10
0.00000224,0.00000000158
0.00000224,3.03E-11
0.00000224,2.72E-10
0.00000224,1.75E-10
0.000058,7.97E-10
0.000058,0.00000000152
0.000058,2.03E-10
0.000058,0.00000000151
0.000058,2.39E-10
0.000058,2.37E-10
0.000058,0.00000000244
0.000058,0.00000000157
0.000058,1.32E-10
0.000058,5.07E-10
0.000058,0.0000000152
0.000058,6.41E-10
0.000058,0.00000000754
0.000058,0.0000000162
0.000058,0.00000000103
0.000058,0.00000000141
0.000058,3.46E-10
0.000058,0.0000000646
0.000058,0.0000000406
0.000058,0.00000000158
0.000058,0.0000000356
0.000058,3.03E-11
0.000058,2.72E-10
0.000058,0.0000000918
0.000058,1.75E-10
0.000058,0.00000014
0.000058,0.00000095
0.000058,0.00000001
0.00000018,2.03E-10
0.00000018,2.39E-10
0.00000018,3.46E-10
0.00000018,3.03E-11
0.00000018,2.72E-10
0.00000018,1.75E-10
0.00000016,2.03E-10
0.00000016,2.39E-10
0.00000016,2.37E-10
0.00000016,3.46E-10
0.00000016,3.03E-11
0.00000016,2.72E-10
0.00000016,1.75E-10
0.000000135,2.03E-10
0.000000135,2.39E-10
0.000000135,3.46E-10
0.000000135,3.03E-11
0.000000135,2.72E-10
0.000000135,1.75E-10
0.0000875,7.97E-10
0.0000875,0.00000000152
0.0000875,2.03E-10
0.0000875,0.00000000151
0.0000875,2.39E-10
0.0000875,0.00000000157
0.0000875,1.32E-10
0.0000875,5.07E-10
0.0000875,0.0000000152
0.0000875,6.41E-10
0.0000875,0.00000000754
0.0000875,0.00000000103
0.0000875,0.00000000141
0.0000875,3.46E-10
0.0000875,0.0000000406
0.0000875,0.00000000158
0.0000875,3.03E-11
0.0000875,2.72E-10
0.0000875,1.75E-10
0.00000002,2.03E-10
0.00000002,2.39E-10
0.00000002,3.46E-10
0.00000002,3.03E-11
0.00000002,2.72E-10
0.00000002,1.75E-10
0.00000001,2.03E-10
0.00000001,2.39E-10
0.00000001,3.46E-10
0.00000001,3.03E-11
0.00000001,2.72E-10
0.00000001,1.75E-10
0.00000001,2.03E-10
0.00000001,2.39E-10
0.00000001,3.46E-10
0.00000001,3.03E-11
0.00000001,2.72E-10
0.00000001,1.75E-10
0.0000088,7.97E-10
0.0000088,0.00000000152
0.0000088,2.03E-10
0.0000088,0.00000000151
0.0000088,2.39E-10
0.0000088,0.00000000157
0.0000088,1.32E-10
0.0000088,5.07E-10
0.0000088,6.41E-10
0.0000088,0.00000000754
0.0000088,0.00000000141
0.0000088,3.46E-10
0.0000088,0.00000000158
0.0000088,3.03E-11
0.0000088,2.72E-10
0.0000088,1.75E-10
0.0000229,0.00000014
0.0000229,0.00000095
0.0000229,0.000000035
0.0000229,0.0000204
0.0000229,0.00000018
0.0000229,0.00000016
0.0000229,0.000000135
0.0000229,0.00000002
0.0000229,0.00000001
0.0000229,0.00000001
0.0000229,0.0000088
0.0000229,0.0000229
0.0000229,0.000000105
0.0000229,0.000000465
0.0000229,0.00000025
0.0000229,0.00000038
0.0000229,0.00000685
0.000000105,2.03E-10
0.000000105,2.39E-10
0.000000105,3.46E-10
0.000000105,3.03E-11
0.000000105,2.72E-10
0.000000105,1.75E-10
0.000000465,2.03E-10
0.000000465,2.39E-10
0.000000465,3.46E-10
0.000000465,3.03E-11
0.000000465,2.72E-10
0.000000465,1.75E-10
0.00000025,2.03E-10
0.00000025,2.39E-10
0.00000025,3.46E-10
0.00000025,3.03E-11
0.00000025,2.72E-10
0.00000025,1.75E-10
0.00000038,2.03E-10
0.00000038,2.39E-10
0.00000038,3.46E-10
0.00000038,3.03E-11
0.00000038,2.72E-10
0.00000038,1.75E-10
0.00000685,0.00000014
0.00000685,0.00000095
0.00000685,0.000000035
0.00000685,0.0000204
0.00000685,0.00000018
0.00000685,0.00000016
0.00000685,0.000000135
0.00000685,0.00000002
0.00000685,0.00000001
0.00000685,0.00000001
0.00000685,0.0000088
0.00000685,0.000000105
0.00000685,0.000000465
0.00000685,0.00000025
0.00000685,0.00000038
0.00000685,0.00000685
0.0003,0.00000000754
0.0003,0.00000014
0.0003,0.00000095
0.0003,0.00000155
0.0003,0.000000035
0.0003,0.0000204
0.0003,0.00000224
0.0003,0.000058
0.0003,0.00000018
0.0003,0.00000016
0.0003,0.000000135
0.0003,0.00000002
0.0003,0.00000001
0.0003,0.00000001
0.0003,0.0000088
0.0003,0.0000229
0.0003,0.000000105
0.0003,0.000000465
0.0003,0.00000025
0.0003,0.00000038
0.0003,0.00000685
0.0003,0.0003
1.01,0.00000155
1.01,0.0000204
1.01,0.00000224
1.01,0.000058
1.01,0.0000875
1.01,0.0000088
1.01,0.0000229
1.01,0.00000685
1.01,0.0003
1.17,0.00000155
1.17,0.0000204
1.17,0.00000224
1.17,0.000058
1.17,0.0000875
1.17,0.0000088
1.17,0.0000229
1.17,0.00000685
1.17,0.0003
1.29,0.00000155
1.29,0.0000204
1.29,0.00000224
1.29,0.000058
1.29,0.0000875
1.29,0.0000088
1.29,0.0000229
1.29,0.00000685
1.29,0.0003
1.29,1.01
1.29,1.17
1.29,1.29
0.0000004,2.03E-10
0.0000004,2.39E-10
0.0000004,0.00000000131
0.0000004,1.02E-10
0.0000004,3.03E-11
0.0000004,2.72E-10
0.00021,0.0000004
0.00021,0.00000016
0.00021,0.0000244
0.00021,0.0000144
0.00021,0.0000456
0.00021,0.0000136
0.00021,0.000000135
0.00021,0.0000001
0.00021,0.00000002
0.00021,0.000000045
0.00021,0.00000001
0.00021,0.000000015
0.00021,0.0000322
0.00021,0.00000026
0.00021,0.00000037
0.00021,0.00000059
0.00021,0.00000007
0.00021,0.00000895
0.00021,0.00021
0.00000016,2.03E-10
0.00000016,2.39E-10
0.00000016,0.00000000131
0.00000016,1.02E-10
0.00000016,3.03E-11
0.00000016,2.72E-10
0.00000016,1.98E-10
0.0000146,2.03E-10
0.0000146,2.39E-10
0.0000146,0.00000000131
0.0000146,1.98E-10
0.0000146,1.02E-10
0.0000146,3.03E-11
0.0000146,2.72E-10
0.0000244,0.0000004
0.0000244,0.00000016
0.0000244,0.0000244
0.0000244,0.0000144
0.0000244,0.000000135
0.0000244,0.0000001
0.0000244,0.00000002
0.0000244,0.000000045
0.0000244,0.00000001
0.0000244,0.000000015
0.0000244,0.0000322
0.0000244,0.00000026
0.0000244,0.00000037
0.0000244,0.00000059
0.0000244,0.00000007
0.0000244,0.00000895
0.0000456,2.03E-10
0.0000456,6.72E-10
0.0000456,0.00000000164
0.0000456,2.39E-10
0.0000456,0.00000000131
0.0000456,0.00000000371
0.0000456,1.98E-10
0.0000456,0.00000000529
0.0000456,0.00000000448
0.0000456,1.32E-10
0.0000456,4.07E-10
0.0000456,0.00000000628
0.0000456,0.0000000108
0.0000456,0.0000000946
0.0000456,0.0000000052
0.0000456,0.0000000162
0.0000456,1.02E-10
0.0000456,0.00000000386
0.0000456,0.00000000632
0.0000456,0.00000000161
0.0000456,0.0000000646
0.0000456,0.00000000158
0.0000456,0.00000000713
0.0000456,9.48E-10
0.0000456,3.03E-11
0.0000456,6.37E-10
0.0000456,2.72E-10
0.0000456,3.62E-10
0.0000456,0.0000004
0.0000456,0.00000001
0.0000456,0.00000037
0.0000136,1.53E-10
0.0000136,2.03E-10
0.0000136,6.72E-10
0.0000136,0.00000000164
0.0000136,2.39E-10
0.0000136,0.00000000131
0.0000136,0.00000000371
0.0000136,1.32E-10
0.0000136,4.07E-10
0.0000136,0.00000000628
0.0000136,0.0000000108
0.0000136,0.0000000052
0.0000136,1.02E-10
0.0000136,0.00000000386
0.0000136,0.00000000632
0.0000136,0.00000000161
0.0000136,0.00000000158
0.0000136,3.03E-11
0.0000136,6.37E-10
0.0000136,2.72E-10
0.0000136,0.0000004
0.0000136,0.00000001
0.0000136,0.00000037
0.0000144,2.03E-10
0.0000144,6.72E-10
0.0000144,0.00000000164
0.0000144,2.39E-10
0.0000144,0.00000000131
0.0000144,0.00000000371
0.0000144,1.32E-10
0.0000144,4.07E-10
0.0000144,0.00000000628
0.0000144,0.0000000108
0.0000144,0.0000000052
0.0000144,1.02E-10
0.0000144,0.00000000386
0.0000144,0.00000000632
0.0000144,0.00000000158
0.0000144,3.03E-11
0.0000144,6.37E-10
0.0000144,2.72E-10
0.000000135,2.03E-10
0.000000135,2.39E-10
0.000000135,0.00000000131
0.000000135,1.02E-10
0.000000135,3.03E-11
0.000000135,2.72E-10
0.0000001,1.53E-10
0.0000001,2.03E-10
0.0000001,2.39E-10
0.0000001,0.00000000131
0.0000001,1.02E-10
0.0000001,3.03E-11
0.0000001,2.72E-10
0.0000489,2.03E-10
0.0000489,6.72E-10
0.0000489,0.00000000164
0.0000489,2.39E-10
0.0000489,0.00000000131
0.0000489,0.00000000371
0.0000489,1.32E-10
0.0000489,4.07E-10
0.0000489,0.00000000628
0.0000489,0.0000000108
0.0000489,0.0000000052
0.0000489,1.02E-10
0.0000489,0.00000000386
0.0000489,0.00000000632
0.0000489,0.00000000158
0.0000489,3.03E-11
0.0000489,6.37E-10
0.0000489,2.72E-10
0.00000002,2.03E-10
0.00000002,2.39E-10
0.00000002,0.00000000131
0.00000002,1.02E-10
0.00000002,3.03E-11
0.00000002,2.72E-10
0.000000045,2.03E-10
0.000000045,2.39E-10
0.000000045,0.00000000131
0.000000045,1.02E-10
0.000000045,3.03E-11
0.000000045,2.72E-10
0.00000001,2.03E-10
0.00000001,2.39E-10
0.00000001,0.00000000131
0.00000001,1.02E-10
0.00000001,3.03E-11
0.00000001,2.72E-10
0.000000015,2.03E-10
0.000000015,2.39E-10
0.000000015,0.00000000131
0.000000015,1.02E-10
0.000000015,3.03E-11
0.000000015,2.72E-10
195,0.0000456
195,0.0000489
195,0.00021
195,195
0.0000322,0.0000004
0.0000322,0.00000016
0.0000322,0.0000244
0.0000322,0.0000144
0.0000322,0.000000135
0.0000322,0.0000001
0.0000322,0.00000002
0.0000322,0.000000045
0.0000322,0.00000001
0.0000322,0.000000015
0.0000322,0.0000322
0.0000322,0.00000026
0.0000322,0.00000037
0.0000322,0.00000059
0.0000322,0.00000007
0.0000322,0.00000895
0.00000026,2.03E-10
0.00000026,2.39E-10
0.00000026,0.00000000131
0.00000026,1.02E-10
0.00000026,3.03E-11
0.00000026,2.72E-10
0.00000037,2.03E-10
0.00000037,2.39E-10
0.00000037,0.00000000131
0.00000037,1.02E-10
0.00000037,3.03E-11
0.00000037,2.72E-10
0.00000059,2.03E-10
0.00000059,2.39E-10
0.00000059,0.00000000131
0.00000059,1.02E-10
0.00000059,3.03E-11
0.00000059,2.72E-10
0.00000007,2.03E-10
0.00000007,2.39E-10
0.00000007,0.00000000131
0.00000007,1.02E-10
0.00000007,3.03E-11
0.00000007,2.72E-10
0.00000895,0.00000016
0.00000895,0.0000244
0.00000895,0.0000144
0.00000895,0.000000135
0.00000895,0.0000001
0.00000895,0.00000002
0.00000895,0.000000045
0.00000895,0.00000001
0.00000895,0.000000015
0.00000895,0.0000322
0.00000895,0.00000026
0.00000895,0.00000037
0.00000895,0.00000059
0.00000895,0.00000007
0.00000895,0.00000895
0.001139466,0.099289842
0.001139466,0.008203065
0.001139466,0.012405413
0.001139466,0.022658353
0.001139466,0.017590024
0.001139466,0.002769756
0.001139466,0.000310594
0.001139466,0.000966027
0.001139466,0.006780756
0.001139466,0.007219118
0.001139466,0.002079029
0.001139466,0.001964518
0.002563994,0.005019141
0.002563994,0.001757734
0.002563994,0.001171848
0.002563994,0.000372305
0.002563994,0.000958371
0.002563994,0.000176991
0.002563994,0.00032474
0.002563994,0.001355721
0.002563994,0.00046435
0.002563994,0.000981726
0.000116565,0.000366176
0.000116565,0.000983654
0.000116565,0.000141896
0.000116565,0.037408257
0.000116565,0.033692827
0.000226052,0.000171573
0.000463003,0.000236237
0.000463003,0.001601689
0.000463003,0.00044198
0.000463003,0.000318626
0.000463003,0.000587138
0.000463003,0.000155985
0.000463003,0.00052645
0.000463003,0.000431919
0.000463003,0.0000359
0.000463003,0.000497287
0.000200787,0.000262362
0.000200787,0.000446022
0.000200787,0.000401944
0.000200787,0.000959497
0.000200787,0.001610312
0.000200787,0.000335103
0.0000529,0.0000637
0.0000529,0.0000419
0.003338448,0.000205795
0.003338448,0.0000796
0.003338448,0.00011494
0.003338448,0.0000581
0.003338448,0.0000235
0.003338448,0.0000671
0.003338448,0.0000612
0.003338448,0.001136638
0.003338448,0.00000624
0.003338448,0.0000000419
0.003338448,0.00000000524
0.003338448,0.00000000493
0.003338448,0.0000000018
0.003338448,0.00000000113
0.003338448,6.54E-10
0.003338448,6.54E-10
0.003338448,4.77E-10
0.003338448,4.77E-10
0.001406029,2.65E-10
0.0000164,2.24E-10
0.0000164,1.72E-10
0.0000164,1.56E-10
0.0000164,1.15E-10
0.000236628,1.03E-10
0.000236628,1.03E-10
0.000236628,8.18E-11
0.000236628,8.18E-11
0.000236628,7.24E-11
0.000236628,4.19E-11
0.000236628,4.19E-11
0.000236628,3.59E-11
0.000236628,1.15E-11
0.000236628,1.15E-11
0.000236628,9.05E-12
0.0000456,5.24E-12
0.0000456,1.13E-12
0.0000456,3.35E-13
0.0000456,4.77E-10
0.004361872,7.24E-11
0.004361872,8.18E-11
0.004361872,1.03E-10
0.004361872,1.15E-10
0.004361872,1.72E-10
0.004361872,2.65E-10
0.004238316,1.13E-12
0.004238316,5.24E-12
0.004238316,9.05E-12
0.004238316,8.18E-11
0.004238316,1.03E-10
0.004238316,1.56E-10
0.004238316,1.72E-10
0.004238316,2.65E-10
0.004238316,4.77E-10
0.004238316,6.54E-10
0.004238316,0.00000000493
0.004238316,8.04E-11
0.004238316,0.000000261
0.004238316,0.0000164
0.004238316,0.000019
0.004238316,0.000413838
0.004238316,0.004361872
0.004238316,0.011575119
0.000389405,3.35E-13
0.000389405,1.13E-12
0.000389405,5.24E-12
0.000389405,9.05E-12
0.000389405,8.18E-11
0.000389405,1.15E-10
0.000389405,1.56E-10
0.000389405,2.65E-10
0.000389405,4.77E-10
0.000389405,6.54E-10
0.002026502,3.35E-13
0.002026502,1.13E-12
0.002026502,9.05E-12
0.002026502,1.15E-11
0.002026502,7.24E-11
0.002026502,8.18E-11
0.002026502,8.18E-11
0.002026502,1.72E-10
0.002026502,2.65E-10
0.002026502,4.77E-10
0.002026502,6.54E-10
0.000019,9.05E-12
0.000019,1.15E-11
0.000019,8.18E-11
0.000019,2.65E-10
0.002001449,1.13E-12
0.002001449,9.05E-12
0.002001449,7.24E-11
0.002001449,8.18E-11
0.002001449,8.18E-11
0.002001449,1.56E-10
0.002001449,1.72E-10
0.002001449,2.65E-10
0.002001449,4.77E-10
0.000017,9.05E-12
0.000017,8.18E-11
0.000017,8.18E-11
0.000017,2.65E-10
0.000017,4.77E-10
0.0000423,1.13E-12
0.0000423,5.24E-12
0.0000423,9.05E-12
0.0000423,1.15E-11
0.0000423,1.15E-10
0.0000423,2.65E-10
0.0000423,4.77E-10
0.0000423,6.54E-10
0.000673382,8.18E-11
0.000673382,4.77E-10
0.000103957,1.15E-11
0.000103957,8.18E-11
0.000103957,8.18E-11
0.000103957,2.65E-10
0.00060694,1.15E-11
0.00060694,8.18E-11
0.00060694,2.65E-10
0.000115314,5.24E-12
0.000115314,9.05E-12
0.000115314,1.15E-11
0.000115314,4.19E-11
0.000115314,4.19E-11
0.000115314,7.24E-11
0.000115314,8.18E-11
0.000115314,8.18E-11
0.000115314,1.15E-10
0.000115314,1.72E-10
0.000115314,2.65E-10
0.000115314,4.77E-10
0.000115314,6.54E-10
0.000226885,3.35E-13
0.000226885,9.05E-12
0.000226885,1.15E-11
0.000226885,7.24E-11
0.000226885,8.18E-11
0.000226885,8.18E-11
0.000226885,1.72E-10
0.000226885,2.65E-10
0.000226885,6.54E-10
0.000226885,0.0000000018
0.002146023,3.35E-13
0.002146023,1.13E-12
0.002146023,9.05E-12
0.002146023,1.15E-11
0.002146023,1.15E-11
0.002146023,3.59E-11
0.002146023,4.19E-11
0.002146023,4.19E-11
0.002146023,7.24E-11
0.002146023,8.18E-11
0.002146023,8.18E-11
0.002146023,1.03E-10
0.002146023,1.15E-10
0.002146023,1.56E-10
0.002146023,1.72E-10
0.002146023,2.24E-10
0.002146023,2.65E-10
0.002146023,4.77E-10
0.002146023,4.77E-10
0.002146023,6.54E-10
0.002146023,6.54E-10
0.002146023,0.00000000493
